grid,type,estimate,se
857,intercept,-1.823538154445795,0.09913867205912125
858,intercept,-1.7566462977918964,0.0932111393381501
859,intercept,-1.9230974768235003,0.0913549716829236
860,intercept,-1.6024004651622252,0.2631165885098959
863,intercept,-1.3792758175901554,0.21741102347715255
879,intercept,-1.49247823619587,0.3387427859298079
886,intercept,-1.58191326809987,0.1248860693872911
887,intercept,-2.0098217855398834,0.0750710389512172
888,intercept,-1.6027318221126916,0.08132749013160982
889,intercept,-2.14307780851418,0.07210455234300601
890,intercept,-2.0944466268602553,0.06904615662975425
891,intercept,-2.0664870162869766,0.07093518095421436
905,intercept,-1.479795269197177,0.09963632171230478
906,intercept,-2.2766796955330775,0.07219188192342266
907,intercept,-1.9754891921973228,0.07422716034498814
910,intercept,-1.1067387891937082,0.19642531362246005
923,intercept,-1.6101426990997834,0.12240324352672283
924,intercept,-1.4937367351291773,0.11957727286819594
925,intercept,-1.2948372312620156,0.14938126866033263
926,intercept,-1.200094875595891,0.1925457192454757
927,intercept,-1.5911960886762064,0.1243118490052401
928,intercept,-1.6607252319714192,0.12695371117692783
929,intercept,-1.60978797635893,0.10918632550420376
930,intercept,-1.6396851902308562,0.09921945171144703
931,intercept,-1.9565027212812949,0.0893763394259604
934,intercept,-0.9643126747492677,0.23676999044059122
958,intercept,-2.2217358324632603,0.15253947767034104
959,intercept,-2.045424267338255,0.07807032458327769
960,intercept,-1.8441141930014453,0.07460819967629397
961,intercept,-1.9309668054668916,0.07332376660090623
962,intercept,-1.9476223619441115,0.0720429830466188
963,intercept,-2.2744247807471423,0.06182131043643142
964,intercept,-2.2794121086474637,0.0628320477201539
975,intercept,-2.0337216569294285,0.11915813622869523
976,intercept,-1.688703376548336,0.09433080601178104
978,intercept,-1.8152119794837265,0.07983088567057481
979,intercept,-2.185739588559035,0.07501755077864151
981,intercept,-1.6372239423230937,0.14666965771133217
982,intercept,-1.374163735025142,0.13665073474136386
984,intercept,-0.9488790879035099,0.20323407086651188
995,intercept,-1.5584002762921247,0.12741996979294595
996,intercept,-1.6637272167294892,0.12645467642278352
999,intercept,-1.558779956226173,0.1220067894762797
1000,intercept,-1.5756603884876141,0.11247162472046662
1001,intercept,-1.7230377369788348,0.10441642939912874
1002,intercept,-1.8350085167840662,0.08399293970406749
